,client,product,quantity,price,date
0,Blockbuster,Enriched Uranium,55,393.669438570609,2024-01-01 00:00:00.000000000
1,Blockbuster,Fake Promises,15,355.4718773389871,2024-01-01 08:46:07.567567567
2,Grandma's Cookies,Dirt,2,545.1828361780518,2024-01-01 17:32:15.135135135
3,The President of the United States,Jet Engine,81,618.5696371067073,2024-01-02 02:18:22.702702702
4,VolksWagen,Dirt,60,931.3107859242859,2024-01-02 11:04:30.270270270
5,Grandma's Cookies,Dirt,98,614.1483291420313,2024-01-02 19:50:37.837837837
6,Blockbuster,Enriched Uranium,88,86.20913242678874,2024-01-03 04:36:45.405405405
7,Carl,Enriched Uranium,56,25.12507855163859,2024-01-03 13:22:52.972972972
8,Grandma's Cookies,Cookies,18,20.68557513129454,2024-01-03 22:09:00.540540540
9,The President of the United States,Cookies,35,104.7497045760668,2024-01-04 06:55:08.108108108
10,Grandma's Cookies,Enriched Uranium,28,292.5587064106185,2024-01-04 15:41:15.675675675
11,Grandma's Cookies,Dirt,33,787.1305765993263,2024-01-05 00:27:23.243243243
12,VolksWagen,Fake Promises,96,660.8546136343815,2024-01-05 09:13:30.810810810
13,Blockbuster,Enriched Uranium,85,893.9413712574677,2024-01-05 17:59:38.378378378
14,The President of the United States,Cookies,8,281.88718080570675,2024-01-06 02:45:45.945945945
15,Grandma's Cookies,Dirt,84,607.8366848266581,2024-01-06 11:31:53.513513513
16,The President of the United States,Cookies,69,675.3106116390072,2024-01-06 20:18:01.081081081
17,The President of the United States,Enriched Uranium,84,534.719810452778,2024-01-07 05:04:08.648648648
18,Blockbuster,Jet Engine,70,611.463287127023,2024-01-07 13:50:16.216216216
19,VolksWagen,Dirt,93,987.1665437492424,2024-01-07 22:36:23.783783783
20,The President of the United States,Dirt,76,916.770775060256,2024-01-08 07:22:31.351351351
21,VolksWagen,Cookies,15,166.1618100484692,2024-01-08 16:08:38.918918918
22,The President of the United States,Enriched Uranium,24,450.28770209224,2024-01-09 00:54:46.486486486
23,Blockbuster,Dirt,82,339.6020920545292,2024-01-09 09:40:54.054054054
24,Carl,Jet Engine,53,383.58054332204307,2024-01-09 18:27:01.621621621
25,Grandma's Cookies,Dirt,2,821.2264183187328,2024-01-10 03:13:09.189189189
26,The President of the United States,Fake Promises,55,797.7285349587311,2024-01-10 11:59:16.756756756
27,Carl,Enriched Uranium,35,529.6061467790703,2024-01-10 20:45:24.324324324
28,The President of the United States,Enriched Uranium,66,595.3124435911703,2024-01-11 05:31:31.891891891
29,Blockbuster,Jet Engine,27,784.958956315958,2024-01-11 14:17:39.459459459
30,The President of the United States,Dirt,49,936.766387769683,2024-01-11 23:03:47.027027027
